filename,file_size,file_attributes,region_count,region_id,region_shape_attributes,region_attributes
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,0,"{""name"":""point"",""cx"":419,""cy"":763}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,1,"{""name"":""point"",""cx"":429,""cy"":764}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,2,"{""name"":""point"",""cx"":443,""cy"":767}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,3,"{""name"":""point"",""cx"":451,""cy"":771}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,4,"{""name"":""point"",""cx"":461,""cy"":775}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,5,"{""name"":""point"",""cx"":411,""cy"":809}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,6,"{""name"":""point"",""cx"":421,""cy"":809}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,7,"{""name"":""point"",""cx"":435,""cy"":812}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,8,"{""name"":""point"",""cx"":447,""cy"":815}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,9,"{""name"":""point"",""cx"":457,""cy"":819}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,10,"{""name"":""point"",""cx"":453,""cy"":793}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,11,"{""name"":""point"",""cx"":410,""cy"":772}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,12,"{""name"":""point"",""cx"":405,""cy"":853}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,13,"{""name"":""point"",""cx"":416,""cy"":856}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,14,"{""name"":""point"",""cx"":428,""cy"":859}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,15,"{""name"":""point"",""cx"":437,""cy"":863}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,16,"{""name"":""point"",""cx"":447,""cy"":866}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,17,"{""name"":""point"",""cx"":449,""cy"":840}",{}
01251B.jpg,239695,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,18,"{""name"":""point"",""cx"":406,""cy"":819}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,0,"{""name"":""point"",""cx"":465,""cy"":715}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,1,"{""name"":""point"",""cx"":473,""cy"":715}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,2,"{""name"":""point"",""cx"":485,""cy"":718}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,3,"{""name"":""point"",""cx"":497,""cy"":723}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,4,"{""name"":""point"",""cx"":506,""cy"":727}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,5,"{""name"":""point"",""cx"":467,""cy"":762}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,6,"{""name"":""point"",""cx"":476,""cy"":761}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,7,"{""name"":""point"",""cx"":486,""cy"":765}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,8,"{""name"":""point"",""cx"":495,""cy"":770}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,9,"{""name"":""point"",""cx"":505,""cy"":776}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,10,"{""name"":""point"",""cx"":505,""cy"":751}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,11,"{""name"":""point"",""cx"":467,""cy"":727}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,12,"{""name"":""point"",""cx"":461,""cy"":805}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,13,"{""name"":""point"",""cx"":469,""cy"":805}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,14,"{""name"":""point"",""cx"":479,""cy"":809}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,15,"{""name"":""point"",""cx"":488,""cy"":814}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,16,"{""name"":""point"",""cx"":495,""cy"":821}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,17,"{""name"":""point"",""cx"":498,""cy"":795}",{}
01252B.jpg,233294,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,18,"{""name"":""point"",""cx"":466,""cy"":773}",{}
01253B.jpg,251791,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,0,"{""name"":""point"",""cx"":444,""cy"":823}",{}
01253B.jpg,251791,"{""caption"":"""",""public_domain"":""no"",""image_url"":""""}",19,1,"{""name"":""point"",""cx"":455,""cy"":820}",{}
